ATM ID,Alias Name,ATM Live,Location,ATM Type,Bank,Model
AMKDC02,PPT Prey Key,29-Jun-22,"National Road No.3, Phum Prey key, Sangkat Pleung chhess Rotes, Khan Posen Chey, Phnom Penh, Cambodia",DC365,AMK,DC365
AMKDC03,PTT Prek Phnov,30-Jun-22,"National Road No.5, Doung villlage, sangkat Por Nhea Leu, Khan Prek Phnov, Phnom Penh.",DC365,AMK,DC365
AMKDC04,PTT_Klaing Leu,29-May-23,"National Road No. 4, Sangkat 1, Khan Mittapheap, Sihanouk Province, Cambodia",DC365,AMK,DC365
AMKDC05,PTT Seang Nam,8-Jun-23,"National Road No. 6, Sangkat Chreav, Khan Siem Reap, Siem Reap Province, Kingdom of Cambodia",DC365,AMK,DC365
AMKDC06,PTT Siem Reap,7-Jun-23,"Mondul 2 Village, Sangkat Svay Dangkum, Siem Reap City, Siem Reap Province.",DC365,AMK,DC365
AMKDC07,PTT Phdao Chum 1,6-Jun-23,"National Road No. 6 Phum Chheur Teal, Khum Phdao Chum, Srok Cherng Prey, Kampong Cham Province, Kingdom of Cambodia",DC365,AMK,DC365
AMKDC08,PTT Phdao-Chum 2,5-Jun-23,"National Road No. 6 Phum Chheur Teal, Khum Phdao Chum, Srok Cherng Prey, Kampong Cham Province, Kingdom of Cambodia",DC365,AMK,DC365
AMKDC09,PTT Takeo City,31-May-23,"National Road 2, Phsar Ta Kor Village, Sangkat Rokar Knoung, Daun Keo City, Takeo Province.",DC365,AMK,DC365
AMKDC10,PTT Pich Nil,30-May-23,"National Road No4, Phumi 6, Khom Traeng Troyeung, Srok Phnom Srouch, Kampong Speu Province, Cambodia.",DC365,AMK,DC365
AMKDC11,PTT Kampong Chhnang,9-Jun-23,"National R. 5, Phum Toul Khsach, Khum Chrey Bak, Srok Rolea Pa Ear, Kanpong Chhnang province",DC365,AMK,DC365
CCM1280003,,15-Dec-22,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",DC365,ABA,DC365
CCM1280004,,15-Dec-22,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",DC365,ABA,DC365
CCM1280005,,15-Dec-22,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",DC365,ABA,DC365
CCM1280006,,15-Dec-22,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",DC365,ABA,DC365
CCM1280007,,15-Dec-22,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",DC365,ABA,DC365
CCM1280008,,15-Dec-22,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",DC365,ABA,DC365
CCM1280009,,15-Dec-22,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",DC365,ABA,DC365
CCM1280010,,15-Dec-22,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",DC365,ABA,DC365
CCM1280011,,15-Dec-22,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",DC365,ABA,DC365
CCM1280012,,15-Dec-22,"St 10003, Village Bayab, Sangkat Phnom Penh Thmey, Khan Sen Sok, Phnom Penh",DC365,ABA,DC365
CCM1280013,,15-Dec-22,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",DC365,ABA,DC365
CCM1280014,,15-Dec-22,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",DC365,ABA,DC365
CCM1280015,,15-Dec-22,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",DC365,ABA,DC365
CCM1280016,,15-Dec-22,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",DC365,ABA,DC365
CCM1280017,,15-Dec-22,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",DC365,ABA,DC365
CCM1280018,,15-Dec-22,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",DC365,ABA,DC365
CCM1280019,,15-Dec-22,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",DC365,ABA,DC365
CCM1280020,,15-Dec-22,"Hun Sen Blvd, Phum Preak Talong 3,Sangkat Chak Angre Krom, Khan mean chey, Phnom Penh",DC365,ABA,DC365
