atm_id,alias_id,site_id,site_name,address,city,state,region_name,location,accessibility,install_date,delivery_date,take_over_date,category_name,model_name,serial_number,type_name,warranty_days,bank_name,user_id,status
AMKATM55,TAKTAK-A001,101009,Offsite,"National Road 2, Phsar Ta Kor Village, Sangkat Rokar Knoung, Daun Keo City, Takeo Province.",Doun Kaev Municipality,Takéo,Doun Kaev Municipality,Doun Kaev Municipality,06:00 to 18:00,3/17/2022,7/18/2021,8/30/2026,Gold,DN 100D,J810004209,ATM,365,AMK MFI,1,active
AMKATM56,PNPPSC-A001,100042,On-site,"Building No. 97Eo, Street 110, Sangkat Wat Phnom, Khan Daun Penh, Phnom Penh",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,1/20/2016,7/18/2021,8/30/2026,Gold,DN 100D,J810004208,ATM,365,AMK MFI,1,active
AMKATM57,PNPPSM-C001,111582,Offsite,"# 207, Street 271, Village 7, Sangkat Phsar Doeum Kor, Khan Chamkarmon, Phnom Penh, Cambodia.",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,1/28/2021,7/18/2021,8/30/2026,Gold,DN 200V,5310259818,CRM,365,AMK MFI,1,active
AMKATM58,BTBBTB-C001,102657,On-site,"Plot No. 0355 and National Road No. 05, Romchek 5 Village, Sangkat Rattan: Battambang City, Battambang Province.",Battambang Municipality,Battambang,Battambang Municipality,Battambang Municipality,06:00 to 18:00,8/30/2021,7/18/2021,8/30/2026,Gold,DN 200V,5310263839,CRM,365,AMK MFI,1,active
AMKATM59,PNPCKM-A001,103177,On-site,"Plot No. 191, Oknha Try Heng Street (2011), Kork Khleang Village, Sangkat Kork Khleang, Khan Sen Sok, Phnom Penh.",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,6/23/2021,7/18/2021,8/30/2026,Gold,PC 280,J821001980,ATM,365,AMK MFI,1,active
AMKATM60,ASNASN-A001,100988,On-site,"# 10, Street 4, Bek Chan Village, Sangkat Bek Chan, Ang Snoul District, Kandal Province.",Ta Khmau Municipality,Kandal,Ta Khmau Municipality,Ta Khmau Municipality,06:00 to 18:00,6/21/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004202,ATM,365,AMK MFI,1,active
AMKATM61,KADKAD-A001,101513,Offsite,"Location: Takhmao Village, Sangkat Takhmao, Takhmao City, Kandal Province.",Ta Khmau Municipality,Kandal,Ta Khmau Municipality,Ta Khmau Municipality,06:00 to 18:00,6/24/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004210,ATM,365,AMK MFI,1,active
AMKATM62,PNPBKM-A001,111481,On-site,"# 152BA5 and 152BA6, Street 516, Village 13, Sangkat Boeung Kak I, Khan Toul Kork, Phnom Penh.",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,6/23/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004219,ATM,365,AMK MFI,1,active
AMKATM63,SHVSHV-A001,102077,Offsite,"Group 4, Village 4, Sangkat 4, Sihanoukville, Preah Sihanouk Province.",Sihanoukville Municipality,Preah Sihanouk,Sihanoukville Municipality,Sihanoukville Municipality,06:00 to 18:00,9/3/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004207,ATM,365,AMK MFI,1,active
AMKATM64,PNPTKK-C001,103169,On-site,"Street 289, Village 12, Sangkat Boeung Kak II, Khan Toul Kork, Phnom Penh.",Doun Penh Section,Phnom Penh,Doun Penh Section,Doun Penh Section,06:00 to 18:00,7/17/2021,7/18/2021,8/30/2026,Gold,DN 200V,5310259874,CRM,365,AMK MFI,1,active
AMKATM65,PUKPUK-A001,103684,Offsite,"Kork Srok village, Puok commune, Puok district, Siem Reap province",Siem Reap Municipality,Siem Reap,Siem Reap Municipality,Siem Reap Municipality,06:00 to 18:00,9/2/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004227,ATM,365,AMK MFI,1,active
AMKATM66,PSTPST-A001,100471,Offsite,"Street 05, Ra Village, Sangkat Phteah Prey, Pursat City, Pursat Province.",Pursat Municipality,Pursat,Pursat Municipality,Pursat Municipality,06:00 to 18:00,9/1/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004216,ATM,365,AMK MFI,1,active
AMKATM67,PRVPRV-A001,100986,Offsite,"# 70, Village 4, Sangkat Kampong Leav, Prey Veng City, Prey Veng Province.",Prey Veng Municipality,Prey Veng,Prey Veng Municipality,Prey Veng Municipality,06:00 to 18:00,9/1/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004211,ATM,365,AMK MFI,1,active
AMKATM68,RTKRTK-A001,100985,Offsite,"Street 78, Sangkat Laban Siek, Banlung City, Rattanakiri Province.",Banlung Municipality,Ratanakiri,Banlung Municipality,Banlung Municipality,06:00 to 18:00,9/3/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004218,ATM,365,AMK MFI,1,active
AMKATM69,SKNSKN-A001,103112,Offsite,"National Road No. 6, Ta Sen Village, Sotip Commune, Cheung Prey District, Kampong Cham Province.",Kampong Cham Municipality,Kampong Cham,Kampong Cham Municipality,Kampong Cham Municipality,06:00 to 18:00,9/2/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004191,ATM,365,AMK MFI,1,active
AMKATM70,PRHPRH-A001,101514,On-site,"Lor Et Village, Kampong Pranak Commune, Preah Vihear District, Preah Vihear Province",Preah Vihear Municipality,Preah Vihear,Preah Vihear Municipality,Preah Vihear Municipality,06:00 to 18:00,8/24/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810004223,ATM,365,AMK MFI,1,active
AMKATM71,SRPNMK-A001,100468,On-site,"Mondul 2 Village, Sangkat Svay Dangkum, Siem Reap City, Siem Reap Province.",Siem Reap Municipality,Siem Reap,Siem Reap Municipality,Siem Reap Municipality,06:00 to 18:00,9/13/2021,7/18/2021,8/30/2026,Gold,DN 100D,J810000779,ATM,365,AMK MFI,1,active
