atm_id,alias_id,banklocation_id,install_date,delivery_date,takeover_date,category_id,model_id,android_version,serail_number,type_id,status_id,warrenty
TKATM001,TKATM001,55,3/18/2022,3/18/2022,3/18/2027,2,1,Win10,J812001436,1,1,365
TKCRM001,TKCRM001,56,6/13/2022,6/13/2022,6/13/2027,2,3,Win10,J812001437,2,1,365
TKOCRM01,TKOCRM01,97,8/23/2023,8/23/2023,8/23/2028,2,3,Win10,J812001438,2,1,365
WBTATM01,WBTATM01,105,11/10/2023,11/10/2023,11/10/2028,2,1,Win10,J812001439,1,1,365
WBTATM02,WBTATM02,105,11/10/2023,11/10/2023,11/10/2028,2,1,Win10,J812001440,1,1,365
WBTCRM01,WBTCRM01,105,11/10/2023,11/10/2023,11/10/2028,2,3,Win10,J812001441,2,1,365
WPATM001,WPATM001,57,5/30/2022,5/30/2022,5/30/2027,2,1,Win10,J812001442,1,1,365
WPCRM001,WPCRM001,58,5/30/2022,5/30/2022,5/30/2027,2,3,Win10,J812001443,2,1,365
120003,Phillip_Midtown,142,1/23/2024,1/19/2024,1/19/2029,2,4,Android OS,J812001444,3,1,365
18120002,Total_toul_pong_ror,112,12/20/2023,12/20/2023,12/20/2028,2,4,Android OS,J812001445,3,1,365
25312001,PP-SHV Express way,103,11/20/2023,11/20/2023,11/20/2028,2,4,Android OS,J812001446,3,1,365
Philip_UAT,Philip_UAT,104,6/30/2023,6/30/2023,6/30/2028,2,4,Android OS,J812001447,3,1,365
CCM1280003,CCM1280003,74,12/24/2022,12/24/2022,12/15/2027,2,4,Android OS,J812001448,3,1,365
CCM1280004,CCM1280004,74,12/24/2022,12/24/2022,12/15/2027,2,4,Android OS,J812001449,3,1,365
CCM1280005,CCM1280005,74,12/24/2022,12/24/2022,12/15/2027,2,4,Android OS,J812001450,3,1,365
CCM1280006,CCM1280006,74,12/24/2022,12/24/2022,12/15/2027,2,4,Android OS,J812001451,3,1,365
CCM1280007,CCM1280007,74,12/24/2022,12/24/2022,12/15/2027,2,4,Android OS,J812001452,3,1,365
CCM1280008,CCM1280008,100,8/23/2023,8/23/2023,8/24/2030,2,4,Android OS,J812001453,3,1,365
